time,temperature,mg,si,cu,fe,cr,mn,zn,ti,yield_strength,log_time,mg_si_ratio,thermal_budget
0.01,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,105.5374662,-2.0,0.30302800736358054,4.508992426113121
0.5,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,156.3518039,-0.3010299956639812,0.30302800736358054,183.73651373921467
1.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,202.2801482,0.0,0.30302800736358054,314.0996448707392
4.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,260.4234572,0.6020599913279624,0.30302800736358054,729.3167900195125
8.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,268.7296495,0.9030899869919435,0.30302800736358054,995.6723172199079
24.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,259.4462455,1.380211241711606,0.30302800736358054,1458.633580039025
0.01,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,68.40388739,-2.0,0.5555478396133388,4.508992426113121
0.5,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,87.45930595,-0.3010299956639812,0.5555478396133388,183.73651373921467
1.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,130.4560432,0.0,0.5555478396133388,314.0996448707392
4.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,233.0619022,0.6020599913279624,0.5555478396133388,729.3167900195125
8.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,238.4364874,0.9030899869919435,0.5555478396133388,995.6723172199079
24.0,180.0,0.4,0.72,0.0,0.0,0.0,0.0,0.0,0.0,229.153102,1.380211241711606,0.5555478396133388,1458.633580039025
0.01,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,28.33877598,-2.0,1.4285204099853575,4.508992426113121
0.5,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,29.31595973,-0.3010299956639812,1.4285204099853575,183.73651373921467
1.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,29.31595973,0.0,1.4285204099853575,314.0996448707392
4.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,90.87948634,0.6020599913279624,1.4285204099853575,729.3167900195125
8.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,128.0130465,0.9030899869919435,1.4285204099853575,995.6723172199079
24.0,180.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,148.0456115,1.380211241711606,1.4285204099853575,1458.633580039025
1.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.8599828003439932,293.30522945394085
2.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.3010299956639812,0.8599828003439932,464.8777899499106
3.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.47712125471966244,0.8599828003439932,586.6104589078817
8.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.9030899869919435,0.8599828003439932,929.7555798998212
24.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,219.0,1.380211241711606,0.8599828003439932,1362.067305292979
48.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,230.0,1.6812412373755872,0.8599828003439932,1646.8237591455115
72.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,252.0,1.8573324964312685,0.8599828003439932,1815.5079125219415
120.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,280.0,2.0791812460476247,0.8599828003439932,2029.338769369261
168.0,150.0,0.43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,255.0,2.225309281725863,0.8599828003439932,2170.7166412196984
1.0,175.0,1.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,250.3,0.0,1.134818709902136,310.6339089679395
3.0,175.0,1.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,294.4,0.47712125471966244,1.134818709902136,621.267817935879
5.0,175.0,1.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,331.9,0.6989700043360189,1.134818709902136,802.9770061345528
7.0,175.0,1.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,336.8,0.8450980400142568,1.134818709902136,931.9017269038184
9.0,175.0,1.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,329.1,0.9542425094393249,1.134818709902136,1031.9035094252815
0.5,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,94.1,-0.3010299956639812,1.149398864393922,181.70918819867387
1.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,155.9,0.0,1.149398864393922,310.6339089679395
1.5,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,151.5,0.17609125905568124,1.149398864393922,410.6356914894026
2.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,172.2,0.3010299956639812,1.149398864393922,492.34309716661335
2.5,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,181.3,0.3979400086720376,1.149398864393922,561.4257243311991
3.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,176.3,0.47712125471966244,1.149398864393922,621.267817935879
4.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,227.3,0.6020599913279624,1.149398864393922,721.269600457342
6.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,246.5,0.7781512503836436,1.149398864393922,872.0596332991386
8.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,264.3,0.9030899869919435,1.149398864393922,984.6861943332267
12.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,243.6,1.0791812460476249,1.149398864393922,1149.4820545463876
24.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,216.7,1.380211241711606,1.149398864393922,1442.539200914684
48.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,227.3,1.6812412373755872,1.149398864393922,1744.1192665982771
72.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,216.5,1.8573324964312685,1.149398864393922,1922.7693985506512
96.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,207.5,1.9822712330395684,1.149398864393922,2050.1567250162907
120.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,192.3,2.0791812460476247,1.149398864393922,2149.2335330091796
168.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,174.4,2.225309281725863,1.149398864393922,2298.9641090927753
336.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,137.6,2.526339277389844,1.149398864393922,2608.2701652374108
504.0,175.0,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,103.3,2.7024305364455254,1.149398864393922,2789.5358600797526
0.01,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,120.9523869,-2.0,0.30302800736358054,4.508992426113121
0.5,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,168.0952485,-0.3010299956639812,0.30302800736358054,183.73651373921467
1.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,212.8571578,0.0,0.30302800736358054,314.0996448707392
4.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,265.238107,0.6020599913279624,0.30302800736358054,729.3167900195125
8.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,271.9047624,0.9030899869919435,0.30302800736358054,995.6723172199079
24.0,180.0,0.4,1.32,0.0,0.0,0.0,0.0,0.0,0.0,264.2857225,1.380211241711606,0.30302800736358054,1458.633580039025
0.01,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,149.0476306,-2.0,0.4545420110453708,4.508992426113121
0.5,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,194.7619245,-0.3010299956639812,0.4545420110453708,183.73651373921467
1.0,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,258.5714335,0.0,0.4545420110453708,314.0996448707392
4.0,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,315.238104,0.6020599913279624,0.4545420110453708,729.3167900195125
8.0,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,320.0000085,0.9030899869919435,0.4545420110453708,995.6723172199079
24.0,180.0,0.6,1.32,0.0,0.0,0.0,0.0,0.0,0.0,313.8095272,1.380211241711606,0.4545420110453708,1458.633580039025
0.01,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,155.7143041,-2.0,0.6060560147271611,4.508992426113121
0.5,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,177.6190575,-0.3010299956639812,0.6060560147271611,183.73651373921467
1.0,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,225.2381022,0.0,0.6060560147271611,314.0996448707392
4.0,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,329.5238174,0.6020599913279624,0.6060560147271611,729.3167900195125
8.0,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,346.6666663,0.9030899869919435,0.6060560147271611,995.6723172199079
24.0,180.0,0.8,1.32,0.0,0.0,0.0,0.0,0.0,0.0,329.047607,1.380211241711606,0.6060560147271611,1458.633580039025
0.01,180.0,0.0289999999999999,0.069,0.0,0.0017,0.0,0.0,0.0,0.0,176.0,-2.0,0.4202289523257484,4.508992426113121
0.01,180.0,0.03,0.069,0.0,0.0016,0.0,0.0,0.0,0.0,190.0,-2.0,0.434719605854224,4.508992426113121
0.01,180.0,0.0279999999999999,0.072,0.0,0.0018,0.0,0.0,0.0,0.0,187.0,-2.0,0.38883488404388145,4.508992426113121
0.01,180.0,0.0289999999999999,0.071,0.0,0.0016,0.0,0.0,0.0,0.0,204.0,-2.0,0.40839318405858194,4.508992426113121
0.01,180.0,0.0279999999999999,0.074,0.0,0.0016,0.0,0.0,0.0,0.0,188.0,-2.0,0.37832725307390763,4.508992426113121
0.01,180.0,0.031,0.073,0.0,0.0018,0.0,0.0,0.0,0.0,174.0,-2.0,0.42459936994932207,4.508992426113121
0.01,180.0,0.011,0.013,0.009,0.0,0.0,0.009,0.0,0.0,151.684654,-2.0,0.8455034588777863,4.508992426113121
0.01,180.0,0.011,0.0139999999999999,0.01,0.0,0.0,0.008,0.0,0.0,150.0,-2.0,0.7851534618129963,4.508992426113121
0.01,180.0,0.011,0.013,0.009,0.0,0.0,0.009,0.0,0.0,358.5273640000001,-2.0,0.8455034588777863,4.508992426113121
0.01,180.0,0.011,0.0139999999999999,0.01,0.0,0.0,0.008,0.0,0.0,360.0,-2.0,0.7851534618129963,4.508992426113121
0.01,180.0,0.011,0.013,0.009,0.0,0.0,0.009,0.0,0.0,358.5273640000001,-2.0,0.8455034588777863,4.508992426113121
0.01,180.0,0.011,0.0139999999999999,0.01,0.0,0.0,0.008,0.0,0.0,360.0,-2.0,0.7851534618129963,4.508992426113121
0.01,180.0,0.0105,0.18,0.0025,0.006,0.0,0.003,0.001,0.002,167.0,-2.0,0.05833009277262374,4.508992426113121
0.01,180.0,0.0105,0.18,0.0025,0.012,0.0,0.003,0.001,0.002,264.0,-2.0,0.05833009277262374,4.508992426113121
0.01,180.0,0.011,0.22,0.0025,0.0025,0.0,0.003,0.001,0.002,139.0,-2.0,0.04999772737602836,4.508992426113121
0.01,180.0,0.011,0.22,0.0025,0.006,0.0,0.003,0.001,0.002,160.0,-2.0,0.04999772737602836,4.508992426113121
